Rank,Country,Median Age,Percent Urban,Fertility Rate,Net Migrants,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population,Net Change,Average Decade Change,Global Population (%)
24,Italy,47,69,1.3,148943,53324036,56329482,56756561,56966397,59822450,59500579,6176543,1235309,0.7690207577204424
130,Jamaica,31,55,2.0,-11332,1859091,2135546,2392030,2612205,2733896,2820436,961345,192269,0.03645298695029529
11,Japan,48,92,1.4,71560,105416839,117624196,123686321,126803861,128105431,125244761,19827922,3965584,1.6187375421125854
83,Jordan,24,91,2.8,10220,1557374,2216903,3480587,5056174,6931258,10928721,9371347,1874269,0.14124926926064552
63,Kazakhstan,31,58,2.8,-18000,12265305,14172710,16866563,15236253,16627837,18979243,6713938,1342788,0.2452989883143894
27,Kenya,20,28,3.5,-10000,11473087,16187124,23162269,30851606,41517895,51985780,40512693,8102539,0.671895040320334
177,Kiribati,23,57,3.6,-800,57437,60813,75124,88826,107995,126463,69026,13805,0.001634482785177608
106,Kyrgyzstan,26,36,3.0,-4000,3016384,3691209,4394734,4935182,5483774,6424874,3408490,681698,0.08303888054162245
101,Laos,24,36,2.7,-14704,2675283,3297519,4314443,5430853,6323418,7319399,4644116,928823,0.09460025195785488
142,Latvia,44,69,1.7,-14837,2397414,2572037,2689391,2392530,2101530,1897052,-500362,-100072,0.024518624709098727
110,Lebanon,30,78,2.1,-30012,2381791,2963702,3593700,4320642,4995800,5662923,3281132,656226,0.07319097409745409
138,Lesotho,24,31,3.2,-10047,1023481,1407672,1798997,1998630,2022747,2254100,1230619,246124,0.029133324735842472
116,Liberia,19,53,4.4,-5000,1463563,1932169,2209731,2895224,4019956,5087584,3624021,724804,0.06575495177360205
104,Libya,29,78,2.3,-1999,1909177,2962720,4236983,5154790,6491988,6653942,4744765,948953,0.08599949117584009
131,Lithuania,45,71,1.7,-32780,3210147,3521206,3785847,3599637,3139019,2820267,-389880,-77976,0.03645080269410418
157,Luxembourg,40,88,1.5,9741,339342,363741,381267,435628,507070,630399,291057,58211,0.008147650405993682
50,Madagascar,20,39,4.1,-1500,6639751,8948162,11882762,16216431,21731053,28225177,21585426,4317085,0.3647989207522435
61,Malawi,18,18,4.3,-16053,4625141,6267369,9539665,11229387,14718422,19377061,14751920,2950384,0.25044062399149486
45,Malaysia,30,78,2.0,50000,10306508,13215707,17517054,22945150,28717731,33199993,22893485,4578697,0.42909639203970407
162,Maldives,30,35,1.9,11370,123243,164887,224957,282507,361575,514438,391195,78239,0.006648901694892566
58,Mali,16,44,5.9,-40000,6153587,7372581,8945026,11239101,15529181,21224040,15070453,3014091,0.2743120755629786
161,Malta,43,93,1.5,900,315414,333587,365392,399212,418755,515357,199943,39989,0.00666077939571872
166,Martinique,47,92,1.9,-960,326428,333786,374271,432543,392181,370391,43963,8793,0.004787152869097835
120,Mauritania,20,57,4.6,5000,1122198,1506694,2006027,2695003,3419461,4498604,3376406,675281,0.058142625078727604
148,Mauritius,37,41,1.4,0,830115,954865,1090290,1215930,1283330,1297828,467713,93543,0.016773898485102242
169,Mayotte,20,46,3.7,0,35383,52233,92659,159215,211786,305587,270204,54041,0.003949587554257528
10,Mexico,29,84,2.1,-60000,50289306,67705186,81720428,97873442,112532401,125998302,75708996,15141799,1.6284767527309125
